,STATION,sum,exit sum,total,year_week
2,TIMES SQ-42 ST,528990,496962,1025952,2017-01-14
0,ATL AV-BARCLAY,252063,233960,486023,2017-01-21
1,FLUSHING-MAIN,340923,258452,599375,2017-01-21
2,TIMES SQ-42 ST,512883,454489,967372,2017-01-21
0,ATL AV-BARCLAY,268523,255962,524485,2017-01-28
1,FLUSHING-MAIN,328533,238089,566622,2017-01-28
2,TIMES SQ-42 ST,541007,496077,1037084,2017-01-28
0,ATL AV-BARCLAY,267062,245388,512450,2017-02-04
1,FLUSHING-MAIN,357346,267940,625286,2017-02-04
2,TIMES SQ-42 ST,542262,507370,1049632,2017-02-04
0,ATL AV-BARCLAY,246827,233423,480250,2017-02-11
1,FLUSHING-MAIN,331284,245666,576950,2017-02-11
2,TIMES SQ-42 ST,505083,479421,984504,2017-02-11
0,ATL AV-BARCLAY,270747,250068,520815,2017-02-18
1,FLUSHING-MAIN,358703,268613,627316,2017-02-18
2,TIMES SQ-42 ST,567039,534588,1101627,2017-02-18
0,ATL AV-BARCLAY,231441,222864,454305,2017-02-25
1,FLUSHING-MAIN,347616,265825,613441,2017-02-25
2,TIMES SQ-42 ST,570378,552855,1123233,2017-02-25
0,ATL AV-BARCLAY,274988,256364,531352,2017-03-04
1,FLUSHING-MAIN,360476,269416,629892,2017-03-04
2,TIMES SQ-42 ST,574113,536763,1110876,2017-03-04
0,ATL AV-BARCLAY,279359,269660,549019,2017-03-11
1,FLUSHING-MAIN,360344,265727,626071,2017-03-11
2,TIMES SQ-42 ST,567247,541876,1109123,2017-03-11
0,ATL AV-BARCLAY,204800,222027,426827,2017-03-18
1,FLUSHING-MAIN,286724,198435,485159,2017-03-18
2,TIMES SQ-42 ST,440660,470384,911044,2017-03-18
0,ATL AV-BARCLAY,244814,252212,497026,2017-03-25
1,FLUSHING-MAIN,345478,242069,587547,2017-03-25
2,TIMES SQ-42 ST,500205,513896,1014101,2017-03-25
0,ATL AV-BARCLAY,234877,235944,470821,2017-04-01
1,FLUSHING-MAIN,341666,239125,580791,2017-04-01
2,TIMES SQ-42 ST,493479,514723,1008202,2017-04-01
0,ATL AV-BARCLAY,240730,233617,474347,2017-04-08
1,FLUSHING-MAIN,347537,240097,587634,2017-04-08
2,TIMES SQ-42 ST,67172730,17167580,84340310,2017-04-08
0,ATL AV-BARCLAY,219562,211585,431147,2017-04-15
1,FLUSHING-MAIN,325515,233591,559106,2017-04-15
2,TIMES SQ-42 ST,510650,531598,1042248,2017-04-15
0,ATL AV-BARCLAY,224036,206508,430544,2017-04-22
1,FLUSHING-MAIN,331231,226685,557916,2017-04-22
2,TIMES SQ-42 ST,516073,545707,1061780,2017-04-22
0,ATL AV-BARCLAY,239021,215092,454113,2017-04-29
1,FLUSHING-MAIN,346785,240717,587502,2017-04-29
2,TIMES SQ-42 ST,514677,532653,1047330,2017-04-29
0,ATL AV-BARCLAY,234826,210565,445391,2017-05-06
1,FLUSHING-MAIN,344902,237339,582241,2017-05-06
2,TIMES SQ-42 ST,504145,511376,1015521,2017-05-06
0,ATL AV-BARCLAY,247690,227197,474887,2017-05-13
1,FLUSHING-MAIN,352888,248367,601255,2017-05-13
2,TIMES SQ-42 ST,511897,524227,1036124,2017-05-13
0,ATL AV-BARCLAY,240786,218490,459276,2017-05-20
1,FLUSHING-MAIN,338534,229830,568364,2017-05-20
2,TIMES SQ-42 ST,500395,523599,1023994,2017-05-20
0,ATL AV-BARCLAY,229495,208671,438166,2017-05-27
1,FLUSHING-MAIN,339219,240393,579612,2017-05-27
2,TIMES SQ-42 ST,515589,533625,1049214,2017-05-27
0,ATL AV-BARCLAY,216791,202062,418853,2017-06-03
1,FLUSHING-MAIN,316292,221389,537681,2017-06-03
2,TIMES SQ-42 ST,467669,487372,955041,2017-06-03
0,ATL AV-BARCLAY,245870,243189,489059,2017-06-10
1,FLUSHING-MAIN,342813,242521,585334,2017-06-10
2,TIMES SQ-42 ST,535727,554417,1090144,2017-06-10
0,ATL AV-BARCLAY,239445,217834,457279,2017-06-17
1,FLUSHING-MAIN,338274,236514,574788,2017-06-17
2,TIMES SQ-42 ST,532862,545185,1078047,2017-06-17
0,ATL AV-BARCLAY,231072,223384,454456,2017-06-24
1,FLUSHING-MAIN,330041,236095,566136,2017-06-24
2,TIMES SQ-42 ST,5969841,1681811,7651652,2017-06-24
